transaction_id,account_number,amount,transaction_date,response_code,status
TXN00001,123456,500000,2026-06-15T08:30:00+07:00,00,SUCCESS
TXN00002,123456,1200000,2026-06-20T14:05:00+07:00,51,FAILED
TXN00003,123456,2500000,2026-07-01T10:00:00+07:00,00,SUCCESS
TXN00004,123456,300000,2026-07-05T16:45:00+07:00,14,FAILED
TXN00005,123456,999000,2026-07-10T19:20:00+07:00,51,FAILED
TXN00006,234567,150000,2026-06-10T09:00:00+07:00,00,SUCCESS
TXN00007,234567,7500000,2026-06-25T11:30:00+07:00,61,FAILED
TXN00008,234567,450000,2026-07-02T13:15:00+07:00,00,SUCCESS
TXN00009,234567,89000,2026-07-06T08:05:00+07:00,05,FAILED
TXN00010,234567,1250000,2026-07-09T20:40:00+07:00,00,SUCCESS
TXN00011,345678,2000000,2026-06-12T07:50:00+07:00,00,SUCCESS
TXN00012,345678,3200000,2026-06-28T15:20:00+07:00,54,FAILED
TXN00013,345678,600000,2026-07-03T18:00:00+07:00,00,SUCCESS
TXN00014,345678,175000,2026-07-07T12:10:00+07:00,75,FAILED
TXN00015,345678,980000,2026-07-08T09:35:00+07:00,00,SUCCESS
TXN00016,456789,5000000,2026-06-05T10:15:00+07:00,00,SUCCESS
TXN00017,456789,125000,2026-06-18T14:25:00+07:00,01,FAILED
TXN00018,456789,860000,2026-06-30T16:50:00+07:00,00,SUCCESS
TXN00019,456789,430000,2026-07-04T11:05:00+07:00,12,FAILED
TXN00020,456789,2750000,2026-07-09T08:45:00+07:00,00,SUCCESS
TXN00021,567890,320000,2026-06-08T09:10:00+07:00,00,SUCCESS
TXN00022,567890,1500000,2026-06-22T13:40:00+07:00,30,FAILED
TXN00023,567890,90000,2026-07-01T17:30:00+07:00,00,SUCCESS
TXN00024,567890,6800000,2026-07-05T19:55:00+07:00,68,FAILED
TXN00025,567890,540000,2026-07-08T10:20:00+07:00,00,SUCCESS
TXN00026,000123,110000,2026-06-14T08:00:00+07:00,00,SUCCESS
TXN00027,000123,240000,2026-06-26T12:35:00+07:00,96,FAILED
TXN00028,000123,780000,2026-07-02T14:50:00+07:00,00,SUCCESS
TXN00029,000123,1650000,2026-07-07T16:15:00+07:00,99,FAILED
TXN00030,789012,430000,2026-06-09T07:45:00+07:00,00,SUCCESS
TXN00031,789012,2100000,2026-06-21T15:05:00+07:00,00,SUCCESS
TXN00032,789012,55000,2026-07-03T09:25:00+07:00,14,FAILED
TXN00033,789012,3400000,2026-07-06T18:40:00+07:00,00,SUCCESS
TXN00034,789012,720000,2026-07-10T11:50:00+07:00,00,SUCCESS
TXNBAD1,678901,abc,2026-07-01T10:00:00+07:00,00,SUCCESS
TXNBAD2,678901,-5000,2026-07-01T10:00:00+07:00,00,SUCCESS
TXNBAD3,678901,100000,2026-07-01T10:00:00+07:00,88,FAILED
TXNBAD4,678901,100000,2027-01-01T00:00:00+07:00,00,SUCCESS
TXNBAD5,678901,100000,2026-07-01T10:00:00+07:00,51,SUCCESS
TXNBAD6,,100000,2026-07-01T10:00:00+07:00,00,SUCCESS
TXNBAD7,678901,100000.50,2026-07-01T10:00:00+07:00,00,SUCCESS
